Radius,1.0.0,1.6.4,1.8.9,,Radius,1.9.4,1.12.2,1.13.2,1.17.1,1.20.6
968,171551,169876,170823,,15488,0,0,0,0,0
976,206306,205877,207581,,15616,0,0,0,0,0
984,157022,156161,156877,,15744,0,0,0,0,0
992,242879,241914,242997,,15872,0,0,0,0,0
1000,153058,152977,152374,,16000,0,0,0,0,0
1008,219008,221624,220195,,16128,0,0,0,0,0
1016,138199,138290,138437,,16256,0,0,0,0,0
1024,221778,224055,222293,,16384,0,0,0,0,0
1032,127000,127264,126947,,16512,0,0,0,0,0
1040,185060,186453,186345,,16640,2425,2455,533,544,447
1048,146184,147161,145087,,16768,81303,81343,60290,60431,56919
1056,184630,186893,182409,,16896,198412,198176,219721,219324,222915
1064,128410,129516,126937,,17024,278698,278789,279542,279827,279714
1072,167378,167665,164134,,17152,279966,279884,280271,280920,279369
1080,127614,128199,125112,,17280,280029,279835,280594,280482,280945
1088,155559,155672,152348,,17408,279904,279783,279089,279943,280472
1096,110235,110035,108331,,17536,279640,279848,279881,279564,279227
1104,151773,153387,149383,,17664,280354,280437,280453,279188,280408
1112,112603,112613,109309,,17792,278905,278907,279726,280078,279495
1120,126497,125380,121214,,17920,277337,277302,278651,278697,278690
1128,112779,111843,107627,,18048,199138,199380,220748,220661,223667
1136,143824,143395,136094,,18176,81509,81454,60014,59852,57305
1144,92251,92020,89607,,18304,2380,2407,487,489,427
1152,112154,111485,110455,,18432,0,0,0,0,0
1160,79774,79734,82104,,18560,0,0,0,0,0
1168,93058,93097,99702,,18688,0,0,0,0,0
1176,60263,60251,66073,,18816,0,0,0,0,0
1184,82503,82141,89658,,18944,0,0,0,0,0
1192,64027,63781,69526,,19072,0,0,0,0,0
1200,76129,74773,81467,,19200,0,0,0,0,0
1208,47086,47041,51697,,19328,0,0,0,0,0
1216,71628,70878,76810,,19456,0,0,0,0,0
1224,42114,42228,46103,,19584,0,0,0,0,0
1232,55515,56097,60781,,19712,3001,3031,634,658,578
1240,36998,37537,40319,,19840,104894,104624,77772,77446,74211
1248,49084,48740,53123,,19968,255413,255553,281525,281872,285744
